URL,PublishDate,Article_ID,source,entity,sentiment,keyword
https://nasional.kompas.com/read/2023/02/27/20232741/laporan-ppatk-ke-kpk-soal-transaksi-rafael-baru-diproses-pukat-ugm-soroti,2023-02-27 20:23:27,20232741,kompas,,neutral,Universitas Gadjah Mada
https://nasional.kompas.com/read/2023/02/27/20232741/laporan-ppatk-ke-kpk-soal-transaksi-rafael-baru-diproses-pukat-ugm-soroti,2023-02-27 20:23:27,20232741,kompas,,neutral,Rafael Alun Trisambodo
https://nasional.kompas.com/read/2023/02/27/20232741/laporan-ppatk-ke-kpk-soal-transaksi-rafael-baru-diproses-pukat-ugm-soroti,2023-02-27 20:23:27,20232741,kompas,,neutral,Kajian Anti Korupsi
https://nasional.kompas.com/read/2023/02/27/20232741/laporan-ppatk-ke-kpk-soal-transaksi-rafael-baru-diproses-pukat-ugm-soroti,2023-02-27 20:23:27,20232741,kompas,,neutral,Komisi Pemberantasan Korupsi
https://nasional.kompas.com/read/2023/02/27/20232741/laporan-ppatk-ke-kpk-soal-transaksi-rafael-baru-diproses-pukat-ugm-soroti,2023-02-27 20:23:27,20232741,kompas,,neutral,Analisis Transaksi Keuangan
https://nasional.kompas.com/read/2023/02/27/20031301/dompet-dhuafa-dan-pln-indonesia-power-salurkan-350-porsi-makanan-untuk,2023-02-27 20:03:13,20031301,kompas,,neutral,Perusahaan Listrik Negara
https://nasional.kompas.com/read/2023/02/27/20031301/dompet-dhuafa-dan-pln-indonesia-power-salurkan-350-porsi-makanan-untuk,2023-02-27 20:03:13,20031301,kompas,,neutral,Indonesia Power menyalurkan
https://nasional.kompas.com/read/2023/02/27/20031301/dompet-dhuafa-dan-pln-indonesia-power-salurkan-350-porsi-makanan-untuk,2023-02-27 20:03:13,20031301,kompas,,neutral,Listrik Negara
https://nasional.kompas.com/read/2023/02/27/20031301/dompet-dhuafa-dan-pln-indonesia-power-salurkan-350-porsi-makanan-untuk,2023-02-27 20:03:13,20031301,kompas,,neutral,Indonesia Power
https://nasional.kompas.com/read/2023/02/27/20031301/dompet-dhuafa-dan-pln-indonesia-power-salurkan-350-porsi-makanan-untuk,2023-02-27 20:03:13,20031301,kompas,,neutral,Perusahaan Listrik
https://nasional.kompas.com/read/2023/02/27/19552371/brigjen-rafael-granada-resmi-jabat-danpaspampres-ini-harapan-panglima-yudo,2023-02-27 19:55:23,19552371,kompas,,neutral,Rafael Granada Baay
https://nasional.kompas.com/read/2023/02/27/19552371/brigjen-rafael-granada-resmi-jabat-danpaspampres-ini-harapan-panglima-yudo,2023-02-27 19:55:23,19552371,kompas,,neutral,Pasukan Pengamanan Presiden
https://nasional.kompas.com/read/2023/02/27/19552371/brigjen-rafael-granada-resmi-jabat-danpaspampres-ini-harapan-panglima-yudo,2023-02-27 19:55:23,19552371,kompas,,neutral,Komandan Pasukan Pengamanan
https://nasional.kompas.com/read/2023/02/27/19552371/brigjen-rafael-granada-resmi-jabat-danpaspampres-ini-harapan-panglima-yudo,2023-02-27 19:55:23,19552371,kompas,,neutral,Granada Baay resmi
https://nasional.kompas.com/read/2023/02/27/19552371/brigjen-rafael-granada-resmi-jabat-danpaspampres-ini-harapan-panglima-yudo,2023-02-27 19:55:23,19552371,kompas,,neutral,Baay resmi menjabat
https://nasional.kompas.com/read/2023/02/27/19453781/soal-cawapres-anies-demokrat-untuk-bisa-menang-sebaiknya-anies-ahy,2023-02-27 19:45:37,19453781,kompas,,neutral,Informasi DPP Partai
https://nasional.kompas.com/read/2023/02/27/19453781/soal-cawapres-anies-demokrat-untuk-bisa-menang-sebaiknya-anies-ahy,2023-02-27 19:45:37,19453781,kompas,,neutral,Deputi Analisis Data
https://nasional.kompas.com/read/2023/02/27/19453781/soal-cawapres-anies-demokrat-untuk-bisa-menang-sebaiknya-anies-ahy,2023-02-27 19:45:37,19453781,kompas,,neutral,Syahrial Nasution menghormati
https://nasional.kompas.com/read/2023/02/27/19453781/soal-cawapres-anies-demokrat-untuk-bisa-menang-sebaiknya-anies-ahy,2023-02-27 19:45:37,19453781,kompas,,neutral,DPP Partai Demokrat
